at: 2019-04-17 07:04:05.028    Python script hello.py on channel hello_world...
at: 2019-04-17 07:04:14.897    {'ping': 'hello.py'}
at: 2019-04-17 07:04:16.978    {'status': 'pingAck_hello.py_T0:6:3:654'}
at: 2019-04-17 07:07:15.217    {'ping': 'hello.py'}
at: 2019-04-17 07:07:17.058    {'status': 'pingAck_hello.py_T0:9:3:686'}
at: 2019-04-17 07:10:14.901    {'ping': 'hello.py'}
at: 2019-04-17 07:10:16.806    {'status': 'pingAck_hello.py_T0:12:3:504'}
at: 2019-04-17 07:13:14.900    {'ping': 'hello.py'}
at: 2019-04-17 07:13:17.428    {'status': 'pingAck_hello.py_T0:15:3:432'}
at: 2019-04-17 07:16:14.921    {'ping': 'hello.py'}
at: 2019-04-17 07:16:18.348    {'status': 'pingAck_hello.py_T0:18:3:383'}
at: 2019-04-17 07:19:14.901    {'ping': 'hello.py'}
at: 2019-04-17 07:19:16.823    {'status': 'pingAck_hello.py_T0:21:3:289'}
at: 2019-04-17 07:22:14.904    {'ping': 'hello.py'}
at: 2019-04-17 07:22:16.989    {'status': 'pingAck_hello.py_T0:24:3:220'}
at: 2019-04-17 07:25:14.919    {'ping': 'hello.py'}
at: 2019-04-17 07:25:16.876    {'status': 'pingAck_hello.py_T0:27:3:166'}
at: 2019-04-17 07:28:14.902    {'ping': 'hello.py'}
at: 2019-04-17 07:28:16.879    {'status': 'pingAck_hello.py_T0:30:3:79'}
at: 2019-04-17 07:31:14.903    {'ping': 'hello.py'}
at: 2019-04-17 07:31:16.840    {'status': 'pingAck_hello.py_T0:33:3:6'}
at: 2019-04-17 07:34:14.906    {'ping': 'hello.py'}
at: 2019-04-17 07:34:17.069    {'status': 'pingAck_hello.py_T0:36:2:939'}
at: 2019-04-17 07:37:14.908    {'ping': 'hello.py'}
at: 2019-04-17 07:37:16.796    {'status': 'pingAck_hello.py_T0:39:2:866'}
at: 2019-04-17 07:40:14.917    {'ping': 'hello.py'}
at: 2019-04-17 07:40:19.237    {'status': 'pingAck_hello.py_T0:42:2:805'}
at: 2019-04-17 07:43:14.906    {'ping': 'hello.py'}
at: 2019-04-17 07:43:16.853    {'status': 'pingAck_hello.py_T0:45:2:721'}
at: 2019-04-17 07:46:14.912    {'ping': 'hello.py'}
at: 2019-04-17 07:46:16.865    {'status': 'pingAck_hello.py_T0:48:2:657'}
at: 2019-04-17 07:49:14.933    {'ping': 'hello.py'}
at: 2019-04-17 07:49:16.810    {'status': 'pingAck_hello.py_T0:51:2:603'}
at: 2019-04-17 07:52:14.919    {'ping': 'hello.py'}
at: 2019-04-17 07:52:16.940    {'status': 'pingAck_hello.py_T0:54:2:520'}
at: 2019-04-17 07:55:14.909    {'ping': 'hello.py'}
at: 2019-04-17 07:55:16.759    {'status': 'pingAck_hello.py_T0:57:2:443'}
at: 2019-04-17 07:58:14.917    {'ping': 'hello.py'}
at: 2019-04-17 07:58:17.075    {'status': 'pingAck_hello.py_T1:0:2:374'}
at: 2019-04-17 08:01:14.909    {'ping': 'hello.py'}
at: 2019-04-17 08:01:16.772    {'status': 'pingAck_hello.py_T1:3:2:302'}
at: 2019-04-17 08:04:14.934    {'ping': 'hello.py'}
at: 2019-04-17 08:04:16.925    {'status': 'pingAck_hello.py_T1:6:2:252'}
at: 2019-04-17 08:07:14.952    {'ping': 'hello.py'}
at: 2019-04-17 08:07:16.837    {'status': 'pingAck_hello.py_T1:9:2:196'}
at: 2019-04-17 08:10:14.909    {'ping': 'hello.py'}
at: 2019-04-17 08:10:17.422    {'status': 'pingAck_hello.py_T1:12:2:88'}
at: 2019-04-17 08:13:14.944    {'ping': 'hello.py'}
at: 2019-04-17 08:13:16.857    {'status': 'pingAck_hello.py_T1:15:2:50'}
at: 2019-04-17 08:16:14.953    {'ping': 'hello.py'}
at: 2019-04-17 08:16:16.960    {'status': 'pingAck_hello.py_T1:18:1:986'}
at: 2019-04-17 08:19:14.917    {'ping': 'hello.py'}
at: 2019-04-17 08:19:17.017    {'status': 'pingAck_hello.py_T1:21:1:879'}
at: 2019-04-17 08:22:14.923    {'ping': 'hello.py'}
at: 2019-04-17 08:22:17.100    {'status': 'pingAck_hello.py_T1:24:1:815'}
at: 2019-04-17 08:25:14.915    {'ping': 'hello.py'}
at: 2019-04-17 08:28:14.920    {'ping': 'hello.py'}
at: 2019-04-17 08:31:14.928    {'ping': 'hello.py'}
at: 2019-04-17 08:34:14.917    {'ping': 'hello.py'}
at: 2019-04-17 08:34:16.937    {'status': 'pingAck_hello.py_T1:36:1:526'}
at: 2019-04-17 08:37:14.926    {'ping': 'hello.py'}
at: 2019-04-17 08:37:17.143    {'status': 'pingAck_hello.py_T1:39:1:470'}
at: 2019-04-17 08:40:14.933    {'ping': 'hello.py'}
at: 2019-04-17 08:40:18.648    {'status': 'pingAck_hello.py_T1:42:1:402'}
at: 2019-04-17 08:43:14.918    {'ping': 'hello.py'}
at: 2019-04-17 08:43:16.968    {'status': 'pingAck_hello.py_T1:45:1:318'}
at: 2019-04-17 08:46:14.919    {'ping': 'hello.py'}
at: 2019-04-17 08:46:17.067    {'status': 'pingAck_hello.py_T1:48:1:249'}
at: 2019-04-17 08:49:14.917    {'ping': 'hello.py'}
at: 2019-04-17 08:49:17.050    {'status': 'pingAck_hello.py_T1:51:1:177'}
at: 2019-04-17 08:52:14.920    {'ping': 'hello.py'}
at: 2019-04-17 08:52:17.464    {'status': 'pingAck_hello.py_T1:54:1:108'}
at: 2019-04-17 08:55:14.932    {'ping': 'hello.py'}
at: 2019-04-17 08:55:16.730    {'status': 'pingAck_hello.py_T1:57:1:51'}
at: 2019-04-17 08:58:14.962    {'ping': 'hello.py'}
at: 2019-04-17 08:58:17.085    {'status': 'pingAck_hello.py_T2:0:1:12'}
at: 2019-04-17 09:01:14.955    {'ping': 'hello.py'}
at: 2019-04-17 09:01:17.102    {'status': 'pingAck_hello.py_T2:3:0:933'}
at: 2019-04-17 09:04:14.950    {'ping': 'hello.py'}
at: 2019-04-17 09:04:16.975    {'status': 'pingAck_hello.py_T2:6:0:859'}
at: 2019-04-17 09:07:14.920    {'ping': 'hello.py'}
at: 2019-04-17 09:07:16.860    {'status': 'pingAck_hello.py_T2:9:0:762'}
at: 2019-04-17 09:10:14.925    {'ping': 'hello.py'}
at: 2019-04-17 09:10:17.071    {'status': 'pingAck_hello.py_T2:12:0:691'}
at: 2019-04-17 09:13:14.935    {'ping': 'hello.py'}
at: 2019-04-17 09:13:17.188    {'status': 'pingAck_hello.py_T2:15:0:636'}
at: 2019-04-17 09:16:14.924    {'ping': 'hello.py'}
at: 2019-04-17 09:16:16.857    {'status': 'pingAck_hello.py_T2:18:0:558'}
at: 2019-04-17 09:19:14.929    {'ping': 'hello.py'}
at: 2019-04-17 09:19:17.064    {'status': 'pingAck_hello.py_T2:21:0:482'}
at: 2019-04-17 09:22:14.954    {'ping': 'hello.py'}
at: 2019-04-17 09:22:17.144    {'status': 'pingAck_hello.py_T2:24:0:440'}
at: 2019-04-17 09:25:15.123    {'ping': 'hello.py'}
at: 2019-04-17 09:25:17.075    {'status': 'pingAck_hello.py_T2:27:0:543'}
at: 2019-04-17 09:28:15.012    {'ping': 'hello.py'}
at: 2019-04-17 09:28:16.896    {'status': 'pingAck_hello.py_T2:30:0:354'}
at: 2019-04-17 09:31:14.928    {'ping': 'hello.py'}
at: 2019-04-17 09:31:17.431    {'status': 'pingAck_hello.py_T2:33:0:203'}
at: 2019-04-17 09:34:14.928    {'ping': 'hello.py'}
at: 2019-04-17 09:34:17.057    {'status': 'pingAck_hello.py_T2:36:0:130'}
at: 2019-04-17 09:37:14.928    {'ping': 'hello.py'}
at: 2019-04-17 09:37:17.669    {'status': 'pingAck_hello.py_T2:39:0:60'}
at: 2019-04-17 09:40:14.927    {'ping': 'hello.py'}
at: 2019-04-17 09:40:16.916    {'status': 'pingAck_hello.py_T2:41:59:991'}
at: 2019-04-17 09:43:14.959    {'ping': 'hello.py'}
at: 2019-04-17 09:43:17.747    {'status': 'pingAck_hello.py_T2:44:59:949'}
at: 2019-04-17 09:46:14.942    {'ping': 'hello.py'}
at: 2019-04-17 09:46:17.662    {'status': 'pingAck_hello.py_T2:47:59:865'}
at: 2019-04-17 09:49:14.937    {'ping': 'hello.py'}
at: 2019-04-17 09:49:16.966    {'status': 'pingAck_hello.py_T2:50:59:785'}
at: 2019-04-17 09:52:14.950    {'ping': 'hello.py'}
at: 2019-04-17 09:52:16.970    {'status': 'pingAck_hello.py_T2:53:59:731'}
at: 2019-04-17 09:55:14.942    {'ping': 'hello.py'}
at: 2019-04-17 09:55:16.840    {'status': 'pingAck_hello.py_T2:56:59:652'}
at: 2019-04-17 09:58:14.933    {'ping': 'hello.py'}
at: 2019-04-17 09:58:17.181    {'status': 'pingAck_hello.py_T2:59:59:574'}
at: 2019-04-17 10:01:14.931    {'ping': 'hello.py'}
at: 2019-04-17 10:01:17.595    {'status': 'pingAck_hello.py_T3:2:59:500'}
at: 2019-04-17 10:04:14.959    {'ping': 'hello.py'}
at: 2019-04-17 10:07:14.940    {'ping': 'hello.py'}
at: 2019-04-17 10:10:14.943    {'ping': 'hello.py'}
at: 2019-04-17 10:13:14.947    {'ping': 'hello.py'}
at: 2019-04-17 10:13:16.951    {'status': 'pingAck_hello.py_T3:14:59:225'}
at: 2019-04-17 10:16:14.933    {'ping': 'hello.py'}
at: 2019-04-17 10:16:16.890    {'status': 'pingAck_hello.py_T3:17:59:148'}
at: 2019-04-17 10:19:14.936    {'ping': 'hello.py'}
at: 2019-04-17 10:19:16.975    {'status': 'pingAck_hello.py_T3:20:59:77'}
at: 2019-04-17 10:22:14.960    {'ping': 'hello.py'}
at: 2019-04-17 10:22:17.118    {'status': 'pingAck_hello.py_T3:23:59:30'}
at: 2019-04-17 10:25:14.935    {'ping': 'hello.py'}
at: 2019-04-17 10:25:17.714    {'status': 'pingAck_hello.py_T3:26:58:936'}
at: 2019-04-17 10:28:14.940    {'ping': 'hello.py'}
at: 2019-04-17 10:28:17.088    {'status': 'pingAck_hello.py_T3:29:58:884'}
at: 2019-04-17 10:31:14.937    {'ping': 'hello.py'}
at: 2019-04-17 10:31:16.971    {'status': 'pingAck_hello.py_T3:32:58:796'}
at: 2019-04-17 10:34:14.978    {'ping': 'hello.py'}
at: 2019-04-17 10:34:17.901    {'status': 'pingAck_hello.py_T3:35:58:763'}
at: 2019-04-17 10:37:14.937    {'ping': 'hello.py'}
at: 2019-04-17 10:37:17.233    {'status': 'pingAck_hello.py_T3:38:58:655'}
at: 2019-04-17 10:40:15.006    {'ping': 'hello.py'}
at: 2019-04-17 10:40:16.998    {'status': 'pingAck_hello.py_T3:41:58:608'}
at: 2019-04-17 10:43:14.973    {'ping': 'hello.py'}
at: 2019-04-17 10:43:16.935    {'status': 'pingAck_hello.py_T3:44:58:548'}
