at: 2019-04-15 12:34:01.355    Python script hello.py on channel hello_world...
at: 2019-04-15 12:34:11.215    {'ping': 'hello.py'}
at: 2019-04-15 12:34:14.727    {'status': 'pingAck_hello.py_T0:1:23:49'}
at: 2019-04-15 12:37:11.212    {'ping': 'hello.py'}
at: 2019-04-15 12:37:15.455    {'status': 'pingAck_hello.py_T0:4:22:968'}
at: 2019-04-15 12:40:11.235    {'ping': 'hello.py'}
at: 2019-04-15 12:40:14.062    {'status': 'pingAck_hello.py_T0:7:22:917'}
at: 2019-04-15 12:43:11.219    {'ping': 'hello.py'}
at: 2019-04-15 12:43:13.477    {'status': 'pingAck_hello.py_T0:10:22:822'}
at: 2019-04-15 12:46:11.227    {'ping': 'hello.py'}
at: 2019-04-15 12:46:14.298    {'status': 'pingAck_hello.py_T0:13:22:752'}
at: 2019-04-15 12:49:11.215    {'ping': 'hello.py'}
at: 2019-04-15 12:49:13.131    {'status': 'pingAck_hello.py_T0:16:22:667'}
at: 2019-04-15 12:52:11.232    {'ping': 'hello.py'}
at: 2019-04-15 12:52:13.353    {'status': 'pingAck_hello.py_T0:19:22:603'}
at: 2019-04-15 12:55:11.238    {'ping': 'hello.py'}
at: 2019-04-15 12:55:13.565    {'status': 'pingAck_hello.py_T0:22:22:532'}
at: 2019-04-15 12:58:11.235    {'ping': 'hello.py'}
at: 2019-04-15 12:58:13.191    {'status': 'pingAck_hello.py_T0:25:22:451'}
at: 2019-04-15 13:01:11.218    {'ping': 'hello.py'}
at: 2019-04-15 13:01:13.103    {'status': 'pingAck_hello.py_T0:28:22:355'}
at: 2019-04-15 13:04:11.224    {'ping': 'hello.py'}
at: 2019-04-15 13:04:13.135    {'status': 'pingAck_hello.py_T0:31:22:281'}
at: 2019-04-15 13:07:11.248    {'ping': 'hello.py'}
at: 2019-04-15 13:07:13.710    {'status': 'pingAck_hello.py_T0:34:22:226'}
at: 2019-04-15 13:10:11.220    {'ping': 'hello.py'}
at: 2019-04-15 13:10:13.125    {'status': 'pingAck_hello.py_T0:37:22:120'}
at: 2019-04-15 13:13:11.222    {'ping': 'hello.py'}
at: 2019-04-15 13:13:13.227    {'status': 'pingAck_hello.py_T0:40:22:46'}
at: 2019-04-15 13:16:11.246    {'ping': 'hello.py'}
at: 2019-04-15 13:16:13.230    {'status': 'pingAck_hello.py_T0:43:21:994'}
at: 2019-04-15 13:19:11.249    {'ping': 'hello.py'}
at: 2019-04-15 13:19:13.170    {'status': 'pingAck_hello.py_T0:46:21:918'}
